,plate,well,D12,D3,strain,condition,auc,dgr
161,1,B9,sh34,SH3,BY4741,MTX,46.263495000000006,0.07499999999999973
162,1,C9,GBD,gbd1,BY4741,MTX,36.16182,0.05831999999999993
163,1,D9,gab2,GRB2,BY4741,MTX,86.76222000000001,0.10640000000000027
164,1,E9,empty,empty,BY4741,MTX,14.894425,0.05412000000000017
165,1,H9,control,control,control,MTX,-0.03222499999999925,0.0025000000000000022
166,1,A10,sh33,SH3,BY4741,MTX,56.346655,0.08360000000000012
167,1,B10,sh34,SH3,BY4741,MTX,44.475170000000006,0.07579999999999987
168,1,C10,GBD,gbd1,BY4741,MTX,42.1379,0.06260000000000021
169,1,D10,gab2,GRB2,BY4741,MTX,91.106255,0.10819999999999963
170,1,E10,empty,empty,BY4741,MTX,18.390445,0.057399999999999896
171,1,H10,control,control,control,MTX,0.09077500000000163,0.003500000000000003
172,1,A11,sh33,SH3,BY4741,MTX,62.845684999999996,0.08372000000000046
173,1,B11,sh34,SH3,BY4741,MTX,47.80600000000001,0.07459999999999978
174,1,C11,GBD,gbd1,BY4741,MTX,55.8238,0.07011999999999974
175,1,D11,gab2,GRB2,BY4741,MTX,94.141455,0.10928000000000004
176,1,E11,empty,empty,BY4741,MTX,11.98302,0.05147999999999997
177,1,H11,control,control,control,MTX,-0.015650000000000858,0.0029000000000000137
178,1,A12,sh33,SH3,BY4741,MTX,57.604875,0.07651999999999992
179,1,B12,sh34,SH3,BY4741,MTX,45.69047499999999,0.0705600000000004
180,1,C12,GBD,gbd1,BY4741,MTX,43.00253000000001,0.06587999999999994
181,1,D12,gab2,GRB2,BY4741,MTX,94.35421,0.10780000000000012
182,1,E12,empty,empty,BY4741,MTX,26.84439,0.05740000000000034
183,1,H12,control,control,control,MTX,-0.00867499999999971,0.0038000000000000256
