,D12,well,D3,strain,estradiol,replicate,plate,auc,dgr
196,sh31,E1,pdz1,PL0014,0,1,3.0,7.340999999999999,0.016000000000000014
197,sh31,F1,pdz3,PL0014,0,1,3.0,10.5795,0.03200000000000003
198,sh33,G1,pdz1,PL0014,0,1,3.0,7.8664999999999985,0.016000000000000014
199,sh33,H1,pdz3,PL0014,0,1,3.0,9.9255,0.03199999999999992
200,pdz1,A2,sh31,PL0014,0,2,3.0,5.2695,0.0040000000000000036
201,pdz1,B2,sh33,PL0014,0,2,3.0,4.423999999999999,0.0040000000000000036
202,pdz3,C2,sh31,PL0014,0,2,3.0,6.5515,0.01200000000000001
203,pdz3,D2,sh33,PL0014,0,2,3.0,5.526499999999999,0.008000000000000007
204,sh31,E2,pdz1,PL0014,0,2,3.0,8.412999999999998,0.020000000000000018
205,sh31,F2,pdz3,PL0014,0,2,3.0,10.244000000000002,0.03199999999999992
206,sh33,G2,pdz1,PL0014,0,2,3.0,7.336499999999999,0.016000000000000014
207,sh33,H2,pdz3,PL0014,0,2,3.0,13.202,0.04800000000000004
208,pdz1,A3,sh31,PL0014,0,3,3.0,6.863500000000001,0.008000000000000007
209,pdz1,B3,sh33,PL0014,0,3,3.0,4.542,0.0040000000000000036
210,pdz3,C3,sh31,PL0014,0,3,3.0,7.916499999999999,0.020000000000000018
211,pdz3,D3,sh33,PL0014,0,3,3.0,8.1665,0.020000000000000018
212,sh31,E3,pdz1,PL0014,0,3,3.0,7.014500000000001,0.01200000000000001
213,sh31,F3,pdz3,PL0014,0,3,3.0,7.849500000000001,0.016000000000000014
214,sh33,G3,pdz1,PL0014,0,3,3.0,7.063000000000002,0.01200000000000001
215,sh33,H3,pdz3,PL0014,0,3,3.0,21.133000000000003,0.08000000000000007
216,pdz1,A4,sh31,PL0014,5,1,3.0,18.421999999999997,0.040000000000000036
217,pdz1,B4,sh33,PL0014,5,1,3.0,5.7855,0.019999999999999962
218,pdz3,C4,sh31,PL0014,5,1,3.0,10.097000000000001,0.02400000000000002
219,pdz3,D4,sh33,PL0014,5,1,3.0,9.8145,0.027999999999999803
220,sh31,E4,pdz1,PL0014,5,1,3.0,33.878,0.06000000000000005
221,sh31,F4,pdz3,PL0014,5,1,3.0,11.922499999999998,0.028000000000000025
222,sh33,G4,pdz1,PL0014,5,1,3.0,8.9805,0.020000000000000018
223,sh33,H4,pdz3,PL0014,5,1,3.0,13.482999999999999,0.0479999999999996
224,pdz1,A5,sh31,PL0014,5,2,3.0,14.751999999999999,0.02000000000000013
225,pdz1,B5,sh33,PL0014,5,2,3.0,5.124499999999999,0.0040000000000000036
226,pdz3,C5,sh31,PL0014,5,2,3.0,5.9285,0.008000000000000007
227,pdz3,D5,sh33,PL0014,5,2,3.0,6.953499999999998,0.01200000000000001
228,sh31,E5,pdz1,PL0014,5,2,3.0,32.2115,0.06000000000000005
229,sh31,F5,pdz3,PL0014,5,2,3.0,10.917499999999999,0.028000000000000025
230,sh33,G5,pdz1,PL0014,5,2,3.0,9.808499999999999,0.027999999999999692
231,sh33,H5,pdz3,PL0014,5,2,3.0,16.947,0.05600000000000005
232,pdz1,A6,sh31,PL0014,5,3,3.0,21.936,0.04399999999999982
233,pdz1,B6,sh33,PL0014,5,3,3.0,5.290499999999999,0.0040000000000000036
234,pdz3,C6,sh31,PL0014,5,3,3.0,9.437500000000002,0.02400000000000002
235,pdz3,D6,sh33,PL0014,5,3,3.0,8.911000000000001,0.02400000000000002
236,sh31,E6,pdz1,PL0014,5,3,3.0,32.919,0.05600000000000005
237,sh31,F6,pdz3,PL0014,5,3,3.0,12.478,0.040000000000000036
238,sh33,G6,pdz1,PL0014,5,3,3.0,10.655000000000001,0.02400000000000002
239,sh33,H6,pdz3,PL0014,5,3,3.0,21.078,0.06799999999999962
240,pdz1,A7,sh31,PL0014,10,1,3.0,41.4165,0.07200000000000006
241,pdz1,B7,sh33,PL0014,10,1,3.0,7.0409999999999995,0.01200000000000001
242,pdz3,C7,sh31,PL0014,10,1,3.0,10.639999999999999,0.028000000000000025
243,pdz3,D7,sh33,PL0014,10,1,3.0,8.648500000000002,0.020000000000000018
244,sh31,E7,pdz1,PL0014,10,1,3.0,56.131499999999996,0.08400000000000007
245,sh31,F7,pdz3,PL0014,10,1,3.0,17.128,0.06000000000000005
246,sh33,G7,pdz1,PL0014,10,1,3.0,10.319500000000001,0.028000000000000025
247,sh33,H7,pdz3,PL0014,10,1,3.0,15.683499999999999,0.052000000000000046
248,pdz1,A8,sh31,PL0014,10,2,3.0,39.8675,0.07200000000000006
249,pdz1,B8,sh33,PL0014,10,2,3.0,5.764500000000001,0.008000000000000007
250,pdz3,C8,sh31,PL0014,10,2,3.0,6.978999999999999,0.01200000000000001
251,pdz3,D8,sh33,PL0014,10,2,3.0,6.717,0.016000000000000014
252,sh31,E8,pdz1,PL0014,10,2,3.0,60.699999999999996,0.09200000000000008
253,sh31,F8,pdz3,PL0014,10,2,3.0,16.980500000000003,0.055999999999999606
254,sh33,G8,pdz1,PL0014,10,2,3.0,13.812,0.04800000000000004
255,sh33,H8,pdz3,PL0014,10,2,3.0,19.193999999999996,0.06400000000000006
256,pdz1,A9,sh31,PL0014,10,3,3.0,47.791999999999994,0.07600000000000007
257,pdz1,B9,sh33,PL0014,10,3,3.0,6.413500000000001,0.008000000000000007
258,pdz3,C9,sh31,PL0014,10,3,3.0,9.6385,0.028000000000000025
259,pdz3,D9,sh33,PL0014,10,3,3.0,5.962999999999999,0.008000000000000007
260,sh31,E9,pdz1,PL0014,10,3,3.0,57.26399999999999,0.08799999999999963
261,sh31,F9,pdz3,PL0014,10,3,3.0,14.825,0.04800000000000004
262,sh33,G9,pdz1,PL0014,10,3,3.0,14.2335,0.04800000000000004
263,sh33,H9,pdz3,PL0014,10,3,3.0,18.5875,0.05600000000000005
264,pdz1,A10,sh31,PL0014,20,1,3.0,32.6635,0.06800000000000006
265,pdz1,B10,sh33,PL0014,20,1,3.0,5.3195,0.008000000000000007
266,pdz3,C10,sh31,PL0014,20,1,3.0,9.378,0.02400000000000002
