D12,D3,strain,well,plate,auc,dgr
empty,250-4,PL17,D1,2,31.6295,0.07199999999999962
131,250-4,BY4741,H10,4,18.7465,0.05600000000000005
250,250-4,BY4741,H1,8,5.923499999999999,0.004
empty,250-5,BY4741,A3,7,5.1475,0.004
131,250-5,BY4741,A1,5,5.335999999999999,0.008
empty,250-5,BY4741,A2,7,5.6615,0.004
empty,250-5,PL17,E3,2,7.6485,0.01600000000000001
empty,250-5,BY4741,A1,7,3.4895,0.004
250,250-5,BY4741,A4,8,6.544000000000001,0.01200000000000001
250,250-5,BY4741,A6,8,8.560000000000002,0.02000000000000001
empty,250-5,PL17,E1,2,8.554499999999999,0.01600000000000001
empty,250-5,PL17,E2,2,8.046999999999999,0.02000000000000001
131,250-5,BY4741,A2,5,5.1455,0.008
250,250-5,BY4741,A5,8,6.468499999999999,0.01200000000000001
131,250-5,BY4741,A3,5,5.579500000000001,0.01200000000000001
empty,299-3,PL17,F3,2,28.78,0.07600000000000007
empty,299-3,BY4741,B3,7,22.649499999999996,0.02000000000000001
empty,299-3,PL17,F1,2,30.033999999999995,0.06800000000000006
empty,299-3,BY4741,B1,7,5.4615,0.004
299,299-3,BY4741,B1,5,5.849500000000001,0.004
299,299-3,BY4741,D2,9,6.670999999999999,0.01600000000000001
empty,299-3,PL17,F2,2,26.304500000000004,0.07600000000000007
299,299-3,BY4741,B2,5,3.892499999999999,0.004
empty,299-3,BY4741,B2,7,5.2805,0.004
299,299-3,BY4741,D3,9,6.107000000000001,0.01200000000000001
299,299-3,BY4741,B3,5,3.816499999999999,0.004
299,299-3,BY4741,D1,9,6.468500000000001,0.01600000000000001
empty,299-2,PL17,G2,2,23.842500000000005,0.06800000000000006
empty,299-2,PL17,G1,2,30.341,0.07200000000000006
empty,299-2,PL17,G3,2,29.332999999999995,0.07199999999999962
empty,299-2,BY4741,C3,7,5.9755,0.004
299,299-2,BY4741,E3,9,7.379999999999999,0.02400000000000002
299,299-2,BY4741,E2,9,6.6579999999999995,0.01600000000000001
empty,299-2,BY4741,C2,7,5.5760000000000005,0.004
299,299-2,BY4741,E1,9,6.736499999999999,0.01200000000000001
empty,299-2,BY4741,C1,7,6.077499999999999,0.004
empty,299-4,BY4741,D1,7,5.964,0.004
empty,299-4,PL17,H3,2,37.0875,0.07200000000000006
299,299-4,BY4741,F1,9,6.5329999999999995,0.01200000000000001
299,299-4,BY4741,C3,5,5.511999999999999,0.008
empty,299-4,PL17,H2,2,38.087,0.08400000000000007
empty,299-4,PL17,H1,2,44.999,0.08400000000000007
empty,299-4,BY4741,D2,7,5.9175,0.004
empty,299-4,BY4741,D3,7,6.0185,0.004
299,299-4,BY4741,F3,9,8.6535,0.03200000000000003
299,299-4,BY4741,C1,5,5.537999999999999,0.004
299,299-4,BY4741,C2,5,4.522,0.008
299,299-4,BY4741,F2,9,7.52,0.02400000000000002
299,299-5,BY4741,G3,9,5.386000000000001,0.004
empty,299-5,BY4741,E3,7,5.525499999999999,0.004
empty,299-5,BY4741,E2,7,4.8905,0.004
empty,299-5,PL17,A4,2,4.84,0.004
299,299-5,BY4741,D1,5,5.593999999999999,0.004
299,299-5,BY4741,D2,5,4.2494999999999985,0.004
299,299-5,BY4741,D3,5,5.2545,0.004
empty,299-5,PL17,A6,2,5.846499999999999,0.004
empty,299-5,BY4741,E1,7,5.125499999999999,0.004
299,299-5,BY4741,G2,9,4.797,0.004
empty,299-5,PL17,A5,2,5.576499999999999,0.008
299,299-5,BY4741,G1,9,6.9505,0.008
299,299-1,BY4741,H1,9,54.9835,0.08800000000000008
299,299-1,BY4741,E3,5,25.514,0.09200000000000008
empty,299-1,BY4741,F3,7,6.1395,0.004
empty,299-1,PL17,B6,2,5.472500000000002,0.004
empty,299-1,BY4741,F2,7,6.034000000000001,0.004
299,299-1,BY4741,H3,9,51.411,0.08399999999999963
empty,299-1,BY4741,F1,7,6.031500000000001,0.004
299,299-1,BY4741,E2,5,22.0905,0.08400000000000007
empty,299-1,PL17,B5,2,5.053499999999999,0.004
299,299-1,BY4741,H2,9,54.94349999999999,0.08000000000000007
299,299-1,BY4741,E1,5,16.738,0.05600000000000005
empty,299-1,PL17,B4,2,3.8395,0.004
299,299-6,BY4741,F3,5,6.862500000000001,0.01200000000000001
299,299-6,BY4741,F2,5,5.329,0.008
empty,299-6,BY4741,G3,7,6.2555000000000005,0.004
299,299-6,BY4741,A6,9,11.020499999999998,0.03200000000000014
299,299-6,BY4741,A5,9,15.373,0.06000000000000005
empty,299-6,PL17,C6,2,19.9465,0.06400000000000006
empty,299-6,BY4741,G2,7,5.043,0.004
299,299-6,BY4741,F1,5,5.8395,0.004
empty,299-6,PL17,C4,2,12.36,0.0519999999999996
empty,299-6,BY4741,G1,7,5.669500000000001,0.004
299,299-6,BY4741,A4,9,13.8,0.06000000000000005
empty,299-6,PL17,C5,2,17.245,0.06000000000000005
empty,304-3,BY4741,D4,7,5.4605,0.004
304,304-3,BY4741,B4,8,6.900999999999999,0.01600000000000001
empty,304-3,BY4741,D5,7,5.470000000000001,0.004
empty,304-3,BY4741,D6,7,4.568,0.004
empty,304-3,PL17,H6,2,41.28699999999999,0.08400000000000007
empty,304-3,PL17,H5,2,45.6485,0.08000000000000007
250,304-3,BY4741,C5,5,5.176999999999999,0.008
304,304-3,BY4741,B5,8,7.905000000000001,0.02000000000000001
250,304-3,BY4741,C4,5,5.667999999999998,0.01600000000000001
empty,304-3,PL17,H4,2,56.192499999999995,0.09600000000000009
304,304-3,BY4741,B6,8,8.5735,0.02800000000000002
250,304-3,BY4741,C6,5,4.8355,0.004
empty,304-2,BY4741,E6,7,4.987,0.004
304,304-2,BY4741,C6,8,8.282500000000002,0.02400000000000002
empty,304-2,PL17,A7,2,16.274500000000003,0.06800000000000006
empty,304-2,PL17,A9,2,18.327,0.06800000000000006
304,304-2,BY4741,C4,8,6.6065000000000005,0.01200000000000001
